Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
24,Diffused UV data in frame (Total_photons):,      ,1100A,9646.37125,1500A,7220.547021000002,2300A,5289.300403500002
25,115257,350.17061468,-5.90782893,6.17,8.14,0.007,K0III       ,7.66,"[[349.73158145  -5.64102994]
 [350.7313581   -5.61989587]
 [350.74192514  -6.1197842 ]
 [349.74214849  -6.14091827]]"
25,Celestial_data for frame:,      ,Sun,"(np.float64(21.875036134899027), np.float64(-12.739247930227812))",moon,"(np.float64(11.446319382012446), np.float64(3.14831507685967))"
25,Diffused UV data in frame (Total_photons):,      ,1100A,7043.412543999999,1500A,6026.717977,2300A,4952.1813065000015
26,Empty frame,,,,,,,,[350.35175623  -5.6281656 ]
26,Celestial_data for frame:,      ,Sun,"(np.float64(21.875043653399487), np.float64(-12.739208352281894))",moon,"(np.float64(11.446402157268937), np.float64(3.1476421974261783))"
26,Diffused UV data in frame (Total_photons):,      ,1100A,10464.173047999997,1500A,8829.341104000003,2300A,7117.811135
27,115639,351.39202451,-6.00988831,9.62,4.7,0.045,F2          ,0.7600000000000016,"[[350.97190608  -5.61461515]
 [351.9716335   -5.59126791]
 [351.98330712  -6.09113161]
 [350.98357971  -6.11447886]]"
27,Celestial_data for frame:,      ,Sun,"(np.float64(21.875051171897272), np.float64(-12.73916877428968))",moon,"(np.float64(11.446484932270026), np.float64(3.1469693176943294))"
27,Diffused UV data in frame (Total_photons):,      ,1100A,9814.128666,1500A,9124.350656,2300A,7091.043358
28,115852,352.07062956,-5.8178417,8.1,6.93,0.018,F8          ,3.8000000000000007,"[[351.59203207  -5.60038017]
 [352.59173313  -5.57593045]
 [352.60395799  -6.07578098]
 [351.60425693  -6.1002307 ]]"
28,Celestial_data for frame:,      ,Sun,"(np.float64(21.87505869039238), np.float64(-12.73912919625116))",moon,"(np.float64(11.446567707015463), np.float64(3.146296437661732))"
28,Diffused UV data in frame (Total_photons):,      ,1100A,13813.305479999999,1500A,10137.077325999997,2300A,7688.2537029999985
29,Empty frame,,,,,,,,[352.21212777  -5.58546244]
29,Celestial_data for frame:,      ,Sun,"(np.float64(21.875066208884807), np.float64(-12.739089618166336))",moon,"(np.float64(11.446650481505326), np.float64(3.145623557328854))"
29,Diffused UV data in frame (Total_photons):,      ,1100A,14196.238437000002,1500A,11254.851331,2300A,8807.095325999997
30,Empty frame,,,,,,,,[352.83219429  -5.56986369]
30,Celestial_data for frame:,      ,Sun,"(np.float64(21.87507372737456), np.float64(-12.739050040035211))",moon,"(np.float64(11.446733255739531), np.float64(3.144950676699122))"
30,Diffused UV data in frame (Total_photons):,      ,1100A,9884.085193000003,1500A,9656.404166999999,2300A,6696.280098000001
31,116462,353.97730572,-6.00814358,9.74,4.5,0.054,G5          ,0.5199999999999996,"[[353.45223272  -5.5535857 ]
 [354.45184792  -5.52584667]
 [354.46571744  -6.02565427]
 [353.46610224  -6.0533933 ]]"
31,Celestial_data for frame:,      ,Sun,"(np.float64(21.87508124586163), np.float64(-12.73901046185778))",moon,"(np.float64(11.446816029717988), np.float64(3.1442777957695647))"
31,Diffused UV data in frame (Total_photons):,      ,1100A,8558.070756,1500A,8389.809499,2300A,5399.846579
32,116608,354.4702915,-5.97823211,8.38,6.1,0.024,K0          ,3.2399999999999984,"[[354.07223671  -5.53663055]
 [355.07182106  -5.50780154]
 [355.08623557  -6.00759372]
 [354.08665121  -6.03642273]]"
32,116762,354.9607799,-5.54674004,7.66,1.38,0.02,K2          ,4.68,"[[354.07223671  -5.53663055]
 [355.07182106  -5.50780154]
 [355.08623557  -6.00759372]
 [354.08665121  -6.03642273]]"
32,Celestial_data for frame:,      ,Sun,"(np.float64(21.87508876434603), np.float64(-12.738970883634055))",moon,"(np.float64(11.446898803441298), np.float64(3.1436049145420855))"
32,Diffused UV data in frame (Total_photons):,      ,1100A,15140.519875999998,1500A,12134.003635000003,2300A,7797.556874999998
33,116762,354.9607799,-5.54674004,7.66,1.38,0.02,K2          ,4.68,"[[354.69220738  -5.51900018]
 [355.69175981  -5.48908465]
 [355.70671758  -5.98886086]
 [354.70716515  -6.0187764 ]]"
