Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
1,75761,232.15952692,1.84216258,5.15,26.68,0.005,A8IV        ,3.6999999999999993,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,76079,233.07444482,-10.43863464,6.57,7.87,0.001,G0          ,0.8599999999999994,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,76133,233.24144948,-1.18629929,5.5,12.06,0.005,K0III       ,3.0,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,76219,233.54383219,-10.06395962,4.61,34.54,0.03,K1IV        ,4.779999999999999,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,76233,233.58692775,-5.69510689,6.52,39.78,0.005,F7V         ,0.9600000000000009,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,76243,233.61055153,-9.18334968,5.16,9.3,0.02,B6IV        ,3.6799999999999997,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,76291,233.7692928,1.66927984,6.55,16.95,0.008,F0III       ,0.9000000000000004,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,76365,233.95367885,1.22748723,6.7,12.71,0.015,F0          ,0.5999999999999996,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,76427,234.14051118,-0.56147928,6.51,6.34,0.012,G8III+...   ,0.9800000000000004,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,76602,234.6664417,-8.7946549,6.56,44.21,0.015,F6IV-V      ,0.8800000000000008,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,76603,234.66696618,-8.79142377,6.45,40.19,0.013,F6V         ,1.0999999999999996,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,77052,236.00769128,2.51552506,5.86,68.16,0.002,G5V         ,2.2799999999999994,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,77186,236.41458802,0.89104971,6.32,5.27,0.001,K0III       ,1.3599999999999994,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,77227,236.52354097,-1.80411556,5.39,7.99,0.005,B8III       ,3.2200000000000006,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,77287,236.68929693,-6.1203582,6.24,3.48,0.002,K0          ,1.5199999999999996,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,77335,236.82179653,-0.26985699,6.94,20.72,0.016,F5          ,0.11999999999999922,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,77354,236.86184157,1.54603913,6.53,7.44,0.009,K0III       ,0.9399999999999995,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,77458,237.22017169,-1.00127321,6.81,2.49,0.001,K5III       ,0.3800000000000008,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,77464,237.23672761,-3.81852811,5.53,20.34,0.005,A5IV        ,2.9399999999999995,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,77516,237.40527375,-3.43014112,3.54,20.94,0.005,A0V         ,6.92,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,77578,237.57303895,2.19662489,5.21,12.4,0.0,G8III       ,3.58,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,77660,237.81519764,-3.09042957,5.09,20.47,0.003,A3Vn        ,3.8200000000000003,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,78024,238.97765449,-2.16425957,6.77,26.54,0.01,G0...       ,0.46000000000000085,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,Celestial_data for frame:,      ,Sun,"(15.2527331907198, -18.059432716506898)",moon,"(1.1221662804779757, 9.453315292236992)"
1,Diffused UV data in frame (Total_photons):,      ,1100A,22214217.81405175,1500A,18008660.801029414,2300A,12034290.45559764
2,72869,223.41595568,6.24178874,6.63,3.47,0.015,K0          ,0.7400000000000002,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,73019,223.84519206,6.7847917,6.74,3.77,0.011,K5          ,0.5199999999999996,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,73350,224.84631129,4.56777277,5.91,4.5,0.016,M1III       ,2.1799999999999997,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,73424,225.07779956,7.64829855,6.99,-0.68,0.018,K2          ,0.019999999999999574,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,73480,225.2559958,2.89765004,6.72,14.89,0.003,F5          ,0.5600000000000005,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,73620,225.7252916,2.09127129,4.39,17.78,0.04,K0III       ,5.220000000000001,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,73977,226.7785962,2.36265276,6.59,2.35,0.012,K2          ,0.8200000000000003,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,73998,226.83032211,8.95854292,6.88,3.62,0.017,K5          ,0.2400000000000002,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,74016,226.88775067,9.22597488,6.72,31.21,0.02,G5          ,0.5600000000000005,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,74026,226.91801634,5.49808887,6.16,6.11,0.046,K0III       ,1.6799999999999997,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,74253,227.63130492,11.67357688,6.89,1.88,0.011,M2.5III:    ,0.22000000000000064,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,74359,227.94885092,10.2165233,6.89,8.21,0.002,A0          ,0.22000000000000064,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,74441,228.19664484,10.70246828,6.5,4.87,0.008,K2          ,1.0,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,74649,228.79736045,4.93935226,5.32,6.98,0.005,K0III       ,3.3599999999999994,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,74689,228.9547494,0.37210753,5.62,20.2,0.001,A4V         ,2.76,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,74695,228.97321305,6.46488638,6.47,2.69,0.01,K0          ,1.0600000000000005,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,74702,228.99609545,0.79669425,6.92,64.19,0.002,K0          ,0.16000000000000014,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,74749,229.14911128,9.7130066,6.74,9.35,0.002,A2          ,0.5199999999999996,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,74895,229.59424244,0.93945188,6.5,7.55,0.495,K0          ,1.0,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,74901,229.60888718,-0.46123725,5.88,3.33,0.01,K5III       ,2.24,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,74975,229.82741626,1.76665611,5.04,40.46,0.0,F8III-IV    ,3.92,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,75119,230.25842001,0.71558981,5.35,13.38,0.002,K3III       ,3.3000000000000007,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,75230,230.59682931,12.56753162,6.29,7.33,0.006,A0V         ,1.42,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,75342,230.93194231,-1.02231511,6.11,18.2,0.004,F0V         ,1.7799999999999994,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,75530,231.44752151,15.42805438,5.16,3.55,0.006,M1III       ,3.6799999999999997,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,75584,231.6261843,10.03609811,6.97,3.97,0.015,M0          ,0.0600000000000005,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,75714,232.01890292,11.8616023,6.93,7.24,0.011,F0          ,0.14000000000000057,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,75761,232.15952692,1.84216258,5.15,26.68,0.005,A8IV        ,3.6999999999999993,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,75971,232.73089659,8.57910008,6.57,19.73,0.006,F4Vw        ,0.8599999999999994,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,76133,233.24144948,-1.18629929,5.5,12.06,0.005,K0III       ,3.0,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
2,76276,233.7007926,10.53885916,3.8,15.54,0.008,F0IV        ,6.4,"[[237.31187993  -7.20362772]
 [221.66882571   5.2581079 ]
 [231.01512742  16.99039856]
 [246.65818164   4.52866294]]"
