Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
94,93754,286.37853777,33.87274096,8.64,10.68,0.614,F8          ,0.7199999999999989,"[286.3676893672355, 32.914403591997875, 286.7676893672355, 34.914403591997875]"
94,93807,286.56575998,34.41394472,8.31,3.67,0.212,A0          ,1.379999999999999,"[286.3676893672355, 32.914403591997875, 286.7676893672355, 34.914403591997875]"
94,93852,286.70921955,33.64879771,8.31,5.81,0.465,F5          ,1.379999999999999,"[286.3676893672355, 32.914403591997875, 286.7676893672355, 34.914403591997875]"
95,94852,289.50355398,31.02184029,6.69,3.22,0.102,A3V         ,4.619999999999999,"[289.2199838100462, 30.722351613967362, 289.61998381004616, 32.72235161396736]"
95,94867,289.58182474,31.96693715,8.43,3.68,1.096,G5          ,1.1400000000000006,"[289.2199838100462, 30.722351613967362, 289.61998381004616, 32.72235161396736]"
96,95728,292.05775946,29.45033069,6.57,6.94,1.08,K1III       ,4.859999999999999,"[291.938503773361, 28.469678573359385, 292.33850377336097, 30.469678573359385]"
97,96704,294.89002778,26.75134609,9.0,6.88,0.38,F2V         ,0.0,"[294.5373033973199, 26.164114499192, 294.93730339731985, 28.164114499192]"
98,97446,297.08996371,25.00956804,7.17,1.23,1.599,G5Ia0-a...  ,3.66,"[297.0297369475581, 23.812566387611067, 297.42973694755807, 25.812566387611067]"
98,97461,297.1429108,24.96219417,7.42,2.34,0.043,B9          ,3.16,"[297.0297369475581, 23.812566387611067, 297.42973694755807, 25.812566387611067]"
98,97532,297.34323698,25.50589844,8.19,0.84,0.127,A0          ,1.620000000000001,"[297.0297369475581, 23.812566387611067, 297.42973694755807, 25.812566387611067]"
99,98375,299.79409487,23.10127381,5.68,20.66,0.345,F0          ,6.640000000000001,"[299.42840331144095, 21.421212346766954, 299.8284033114409, 23.421212346766954]"
100,99199,302.08248403,20.53616427,8.46,-0.35,0.031,A2          ,1.0799999999999983,"[301.7451286019973, 18.99560952240002, 302.14512860199727, 20.99560952240002]"
100,99201,302.08748531,20.21989284,7.33,6.77,0.406,F2          ,3.34,"[301.7451286019973, 18.99560952240002, 302.14512860199727, 20.99560952240002]"
101,99958,304.21162878,17.82921772,8.36,3.94,1.201,K2          ,1.2800000000000011,"[303.99100759267793, 16.540776228512126, 304.3910075926779, 18.540776228512126]"
