Wavelength,Spectrum,3-Averaged,5-Averaged
422,5.44E+18,5.62E+18,5.87E+18
430,6.91E+18,7.19E+18,7.47E+18
441,9.23E+18,9.13E+18,9.20E+18
451,1.12E+19,1.12E+19,1.15E+19
460,1.32E+19,1.38E+19,1.43E+19
470,1.68E+19,1.70E+19,1.75E+19
480,2.10E+19,2.11E+19,2.16E+19
490,2.54E+19,2.60E+19,3.59E+19
500,3.15E+19,4.71E+19,1.55E+20
506,8.45E+19,2.43E+20,2.70E+20
512,6.12E+20,4.31E+20,3.78E+20
520,5.95E+20,5.91E+20,4.80E+20
530,5.66E+20,5.68E+20,6.05E+20
540,5.44E+20,6.06E+20,6.58E+20
550,7.09E+20,7.09E+20,7.27E+20
560,8.74E+20,8.41E+20,7.88E+20
570,9.41E+20,8.95E+20,8.76E+20
580,8.71E+20,9.33E+20,9.10E+20
590,9.87E+20,9.12E+20,9.51E+20
600,8.79E+20,9.81E+20,1.01E+21
610,1.08E+21,1.07E+21,1.09E+21
620,1.26E+21,1.20E+21,1.13E+21
630,1.25E+21,1.24E+21,1.19E+21
640,1.20E+21,1.21E+21,1.21E+21
650,1.16E+21,1.17E+21,1.23E+21
658,1.16E+21,1.23E+21,1.28E+21
665,1.36E+21,1.34E+21,1.30E+21
675,1.49E+21,1.39E+21,1.41E+21
685,1.30E+21,1.51E+21,1.48E+21
695,1.75E+21,1.52E+21,1.60E+21
705,1.52E+21,1.74E+21,1.69E+21
716,1.95E+21,1.80E+21,1.82E+21
726,1.93E+21,1.95E+21,1.88E+21
735,1.98E+21,1.99E+21,2.00E+21
745,2.05E+21,2.04E+21,2.05E+21
755,2.10E+21,2.12E+21,2.13E+21
765,2.20E+21,2.21E+21,2.23E+21
775,2.32E+21,2.33E+21,2.32E+21
785,2.46E+21,2.43E+21,2.39E+21
795,2.50E+21,2.48E+21,2.45E+21
805,2.48E+21,2.49E+21,2.53E+21
815,2.50E+21,2.56E+21,2.49E+21
825,2.69E+21,2.48E+21,2.52E+21
835,2.26E+21,2.54E+21,2.57E+21
845,2.68E+21,2.55E+21,2.63E+21
855,2.70E+21,2.74E+21,2.68E+21
865,2.84E+21,2.83E+21,2.85E+21
875,2.94E+21,2.95E+21,2.95E+21
885,3.08E+21,3.06E+21,3.03E+21
895,3.17E+21,3.13E+21,3.23E+21
905,3.13E+21,3.38E+21,5.91E+21
915,3.85E+21,7.76E+21,1.08E+22
925,1.63E+22,1.59E+22,1.76E+22
935,2.74E+22,2.70E+22,2.51E+22
945,3.74E+22,3.51E+22,3.34E+22
955,4.05E+22,4.11E+22,3.33E+22
965,4.56E+22,3.39E+22,3.52E+22
975,1.55E+22,3.26E+22,3.47E+22
985,3.68E+22,2.91E+22,3.42E+22
995,3.50E+22,3.66E+22,3.31E+22
1005,3.81E+22,3.77E+22,3.62E+22
1015,4.01E+22,3.64E+22,3.64E+22
1025,3.10E+22,3.64E+22,3.87E+22
1035,3.80E+22,3.84E+22,3.98E+22
1045,4.62E+22,4.27E+22,3.93E+22
1055,4.38E+22,4.26E+22,4.12E+22
1065,3.77E+22,4.06E+22,4.11E+22
1075,4.04E+22,3.85E+22,4.00E+22
1085,3.75E+22,3.94E+22,3.90E+22
1095,4.04E+22,3.89E+22,3.91E+22
1105,3.88E+22,3.92E+22,3.73E+22
1115,3.85E+22,3.62E+22,3.73E+22
1125,3.13E+22,3.58E+22,3.64E+22
1135,3.77E+22,3.50E+22,3.58E+22
1145,3.60E+22,3.64E+22,3.50E+22
1155,3.54E+22,3.54E+22,3.31E+22
1165,3.47E+22,3.07E+22,3.20E+22
1175,2.19E+22,2.96E+22,3.11E+22
1185,3.21E+22,2.85E+22,2.99E+22
1195,3.15E+22,3.09E+22,2.76E+22
1205,2.92E+22,2.80E+22,2.93E+22
1215,2.34E+22,2.76E+22,2.94E+22
1225,3.01E+22,2.87E+22,2.93E+22
1235,3.25E+22,3.13E+22,2.98E+22
1245,3.14E+22,3.18E+22,3.16E+22
1255,3.15E+22,3.18E+22,3.23E+22
1265,3.25E+22,3.25E+22,3.25E+22
1275,3.36E+22,3.32E+22,3.23E+22
1285,3.36E+22,3.25E+22,3.22E+22
1295,3.03E+22,3.17E+22,3.24E+22
1305,3.10E+22,3.16E+22,3.21E+22
1315,3.35E+22,3.23E+22,3.17E+22
1325,3.22E+22,3.24E+22,3.20E+22
1335,3.14E+22,3.17E+22,3.20E+22
1345,3.16E+22,3.14E+22,3.13E+22
1355,3.12E+22,3.10E+22,3.08E+22
1365,3.01E+22,3.03E+22,3.02E+22
1375,2.94E+22,2.94E+22,2.82E+22
1385,2.86E+22,2.66E+22,2.66E+22
1395,2.17E+22,2.44E+22,2.60E+22
1405,2.30E+22,2.39E+22,2.51E+22
1415,2.72E+22,2.51E+22,2.47E+22
1425,2.50E+22,2.63E+22,2.57E+22
1435,2.66E+22,2.61E+22,2.64E+22
1442,2.68E+22,2.67E+22,2.61E+22
1447,2.66E+22,2.63E+22,2.61E+22
1455,2.56E+22,2.56E+22,2.58E+22
1465,2.47E+22,2.51E+22,2.54E+22
1475,2.51E+22,2.50E+22,2.50E+22
1485,2.51E+22,2.49E+22,2.46E+22
1495,2.45E+22,2.44E+22,2.41E+22
1505,2.35E+22,2.35E+22,2.37E+22
