Wavelength,Spectrum
2535.0,3.426279930001848e+21
2545.0,3.3400449659436485e+21
2555.0,3.427468418620199e+21
2565.0,3.387372628342925e+21
2575.0,3.4249966151639457e+21
2585.0,3.407248412325287e+21
2595.0,3.389259773889772e+21
2605.0,3.37103111901458e+21
2615.0,3.345949478547589e+21
2625.0,3.3272148722332525e+21
2635.0,3.313237700286998e+21
2645.0,3.325811657403837e+21
2655.0,3.3232796903273183e+21
2665.0,3.217864542928266e+21
2675.0,3.250231892534452e+21
2685.0,3.2420136201735063e+21
2695.0,3.1535693142373155e+21
2705.0,3.141330191687867e+21
2715.0,3.128914497963662e+21
2725.0,3.1025399453350195e+21
2735.0,3.12084162661521e+21
2745.0,3.0125152036201143e+21
2755.0,3.0217482279952984e+21
2765.0,3.013488752807488e+21
2775.0,3.05245600729431e+21
2785.0,3.0141588580923034e+21
2795.0,2.9154321200454666e+21
2805.0,2.9631013741009557e+21
2815.0,2.9736650153633477e+21
2825.0,2.932437622084654e+21
2835.0,2.8317005681833704e+21
2845.0,2.87406260133006e+21
2855.0,2.8570919844156864e+21
2865.0,2.874344035030294e+21
2875.0,2.8462089797744245e+21
2885.0,2.8287515894801393e+21
2895.0,2.8037837291480353e+21
2910.0,2.774160018160811e+21
2930.0,2.7376582453822725e+21
2950.0,2.678018875033687e+21
2970.0,2.6680114278334574e+21
2990.0,2.6236012685082865e+21
3010.0,2.5764536721483387e+21
3030.0,2.5763334363455727e+21
3050.0,2.5412794664434915e+21
3070.0,2.511364955049649e+21
3090.0,2.4554489692364813e+21
3110.0,2.43988482492526e+21
3130.0,2.410065265579039e+21
3150.0,2.381655330202047e+21
3170.0,2.3386612505139846e+21
3190.0,2.2969503582173837e+21
3210.0,2.2890290789462198e+21
3230.0,2.2583686012919223e+21
3250.0,2.233315645579336e+21
3270.0,2.2036475508639644e+21
3290.0,2.1755284158935904e+21
